T		 E
0,01	-4,0		
0,10   	-4,0
0,20   	-4,0
0,30   	-4,0
0,40   	-4,0
0,50   	-4,0
0,60   	-4,0
0,70   	-4,0
0,80   	-4,0
0,90   	-4,0
1,00   	-4,0
1,10   	-4,0
1,20   	-4,0
1,30   	-4,0
1,40   	-4,0
1,50   	-3,9
1,60   	-3,8
1,70   	-3,7
1,80   	-3,7
1,90   	-3,5
2,00   	-3,6
2,10   	-3,1
2,20   	-2,9
2,30   	-2,5
2,40   	-2,2
2,50   	-1,9
2,60   	-1,9
2,70   	-1,9
2,80   	-2,0
2,90   	-1,6
3,00   	-1,6
3,10   	-1,6
3,20   	-1,7
3,30   	-1,5
3,40   	-1,3
3,50   	-1,4
3,60   	-1,4
3,70   	-1,2
3,80   	-1,3
3,90   	-1,2
